code,title,parent_id
K00,Нарушения развития и прорезывания зубов,K00-K14
K00-K14,"Болезни полости рта, слюнных желез и челюстей",K00-K93
K00-K93,Болезни органов пищеварения,NULL
K00.0,Адентия,K00
K00.1,Сверхкомплектные зубы,K00
K00.2,Аномалии размеров и формы зубов,K00
K00.3,Крапчатые зубы,K00
K00.4,Нарушения формирования зубов,K00
K00.5,"Наследственные нарушения структуры зуба, не классифицированные в других рубриках",K00
K00.6,Нарушения прорезывания зубов,K00
K00.7,Синдром прорезывания зубов,K00
K00.8,Другие нарушения развития зубов,K00
K00.9,Нарушение развития зубов неуточненное,K00
K01,Ретенированные и импактные зубы,K00-K14
K01.0,Ретенированные зубы,K01
K01.1,Импактные зубы,K01
K02,Кариес зубов,K00-K14
K02.0,Кариес эмали,K02
K02.1,Кариес дентина,K02
K02.2,Кариес цемента,K02
K02.3,Приостановившийся кариес зубов,K02
K02.4,Одонтоклазия,K02
K02.8,Другой кариес зубов,K02
K02.9,Кариес зубов неуточненный,K02
K03,Другие болезни твердых тканей зубов,K00-K14
K03.0,Повышенное стирание зубов,K03
K03.1,Сошлифовывание зубов,K03
K03.2,Эрозия зубов,K03
K03.3,Патологическая резорбция зубов,K03
K03.4,Гиперцементоз,K03
K03.5,Анкилоз зубов,K03
K03.6,Отложения (наросты) на зубах,K03
K03.7,Изменение цвета твердых тканей зубов после прорезывания,K03
K03.8,Другие уточненные болезни твердых тканей зубов,K03
K03.9,Болезнь твердых тканей зубов неуточненная,K03
K04,Болезни пульпы и периапикальных тканей,K00-K14
K04.0,Пульпит,K04
K04.1,Некроз пульпы,K04
K04.2,Дегенерация пульпы,K04
K04.3,Неправильное формирование твердых тканей в пульпе,K04
K04.4,Острый апикальный периодонтит пульпарного происхождения,K04
K04.5,Хронический апикальный периодонтит,K04
K04.6,Периапикальный абсцесс с полостью,K04
K04.7,Периапикальный абсцесс без полости,K04
K04.8,Корневая киста,K04
K04.9,Другие и неуточненные болезни пульпы и периапикальных тканей,K04
K05,Гингивит и болезни пародонта,K00-K14
K05.0,Острый гингивит,K05
K05.1,Хронический гингивит,K05
K05.2,Острый пародонтит,K05
K05.3,Хронический пародонтит,K05
K05.4,Пародонтоз,K05
K05.5,Другие болезни пародонта,K05
K05.6,Болезнь пародонта неуточненная,K05
K06,Другие изменения десны и беззубого альвеолярного края,K00-K14
K06.0,Рецессия десны,K06
K06.1,Гипертрофия десны,K06
K06.2,"Поражения десны и беззубого альвеолярного края, обусловленные травмой",K06
K06.8,Другие уточненные изменения десны и беззубого альвеолярного края,K06
K06.9,Изменение десны и беззубого альвеолярного края неуточненное,K06
K07,Челюстно-лицевые аномалии [включая аномалии прикуса],K00-K14
K07.0,Основные аномалии размеров челюстей,K07
K07.1,Аномалии челюстно-черепных соотношений,K07
K07.2,Аномалии соотношений зубных дуг,K07
K07.3,Аномалии положения зубов,K07
K07.4,Аномалия прикуса неуточненная,K07
K07.5,Челюстно-лицевые аномалии функционального происхождения,K07
K07.6,Болезни височно-нижнечелюстного сустава,K07
K07.8,Другие челюстно-лицевые аномалии,K07
K07.9,Челюстно-лицевая аномалия неуточненная,K07
K08,Другие изменения зубов и их опорного аппарата,K00-K14
K08.0,Эксфолиация зубов вследствие системных нарушений,K08
K08.1,"Потеря зубов вследствие несчастного случая, удаления или локальной периодонтальной болезни",K08
K08.2,Атрофия беззубого альвеолярного края,K08
K08.3,Задержка зубного корня [ретенционный корень],K08
K08.8,Другие уточненные изменения зубов и их опорного аппарата,K08
K08.9,Изменение зубов и их опорного аппарата неуточненное,K08
K09,"Кисты области рта, не классифицированные в других рубриках",K00-K14
K09.0,"Кисты, образовавшиеся в процессе формирования зубов",K09
K09.1,Ростовые (неодонтогенные) кисты области рта,K09
K09.2,Другие кисты челюстей,K09
K09.8,"Другие уточненные кисты области рта, не классифицированные в других рубриках",K09
K09.9,Киста области рта неуточненная,K09
K10,Другие болезни челюстей,K00-K14
K10.0,Нарушения развития челюстей,K10
K10.1,Гигантоклеточная гранулема центральная,K10
K10.2,Воспалительные заболевания челюстей,K10
K10.3,Альвеолит челюстей,K10
K10.8,Другие уточненные болезни челюстей,K10
K10.9,Болезнь челюсти неуточненная,K10
K11,Болезнь слюнных желез,K00-K14
K11.0,Атрофия слюнной железы,K11
K11.1,Гипертрофия слюнной железы,K11
K11.2,Сиаладенит,K11
K11.3,Абсцесс слюнной железы,K11
K11.4,Свищ слюнной железы,K11
K11.5,Сиалолитиаз,K11
K11.6,Мукоцеле слюнной железы,K11
K11.7,Нарушения секреции слюнных желез,K11
K11.8,Другие болезни слюнных желез,K11
K11.9,Болезнь слюнной железы неуточненная,K11
K12,Стоматит и родственные поражения,K00-K14
K12.0,Рецидивирующие афты полости рта,K12
K12.1,Другие формы стоматита,K12
K12.2,Флегмона и абсцесс области рта,K12
K13,Другие болезни губ и слизистой оболочки полости рта,K00-K14
K13.0,Болезни губ,K13
K13.1,Прикусывание щеки и губ,K13
K13.2,"Лейкоплакия и другие изменения эпителия полости рта,",K13
K13.3,Волосатая лейкоплакия,K13
K13.4,Гранулема и гранулемоподобные поражения слизистой оболочки полости рта,K13
K13.5,Подслизистый фиброз полости рта,K13
K13.6,Гиперплазия слизистой оболочки полости рта вследствие раздражения,K13
K13.7,Другие и неуточненные поражения слизистой оболочки полости рта,K13
K14,Болезни языка,K00-K14
K14.0,Глоссит,K14
K14.1,"""Географический"" язык",K14
K14.2,Срединный ромбовидный глоссит,K14
K14.3,Гипертрофия сосочков языка,K14
K14.4,Атрофия сосочков языка,K14
K14.5,Складчатый язык,K14
K14.6,Глоссодиния,K14
K14.8,Другие болезни языка,K14
K14.9,Болезнь языка неуточненная,K14
Z46.3,Примерка и подгонка зубного протезного устройства,Z46
Z46.4,Примерка и подгонка ортодонтического устройства,Z46
Z96.5,Наличие имплантатов зубов и челюсти,Z96